"","from","upto","add","se_add","mul","se_mul","p","meaning","species"
"slope...1",1999,2024,0.0160126958857964,0.0134714986105197,1.01614158614173,0.0136889499657996,0.246212147923108,"Stable","Aeshna cyanea"
"slope...2",1999,2024,0.0224512885631602,0.0135478846298243,1.02270521551058,0.0138554922700569,0.110499574169855,"Uncertain","Aeshna mixta"
"slope...3",1999,2024,0.0327909080363388,0.0109413535784287,1.03333445472107,0.011306077633876,0.00625056752900473,"Moderate increase (p<0.05)","Anax imperator"
"slope...4",1999,2024,0.0307259432207475,0.0112916404109667,1.0312028570239,0.0116439718522753,0.0119146108349655,"Moderate increase (p<0.05)","Anax parthenope"
"slope...5",1999,2024,0.0454411598379271,0.00623061575440087,1.04648942719485,0.00652027351189418,1.55834658604751e-07,"Moderate increase (p<0.01)","Calopteryx splendens"
"slope...6",1999,2024,0.0373595115614473,0.0118896213565269,1.03806615054458,0.0123422134730026,0.00441603733459819,"Moderate increase (p<0.05)","Calopteryx virgo"
"slope...7",1999,2024,0.00152198931398022,0.0127088156951712,1.00152314812754,0.0127281731040006,0.905671291795498,"Stable","Chalcolestes viridis"
"slope...8",1999,2024,0.00435696301751006,0.0105085748657286,1.0043664683807,0.0105544602256061,0.682109846643386,"Stable","Coenagrion puella"
"slope...9",1999,2024,0.0341396385961992,0.0092425006813317,1.03472908475737,0.00956348427086373,0.0011378946850019,"Moderate increase (p<0.05)","Crocothemis erythraea"
"slope...10",1999,2024,0.0392777616553167,0.00777157708638434,1.04005933213451,0.00808290127409672,3.62519266591927e-05,"Moderate increase (p<0.01)","Ischnura elegans"
"slope...11",1999,2024,0.02969622485943,0.0132997240888885,1.03014155502263,0.0137005984542995,0.0351474356169188,"Moderate increase (p<0.05)","Libellula depressa"
"slope...12",1999,2024,0.0344750556236962,0.0137254019940523,1.03507620872363,0.0142068370592114,0.0191454308580943,"Moderate increase (p<0.05)","Libellula fulva"
"slope...13",1999,2024,0.0425838733883869,0.0126221953533206,1.04350357488401,0.0131713059740744,0.00251470168625736,"Moderate increase (p<0.05)","Onychogomphus forcipatus"
"slope...14",1999,2024,0.028006458267964,0.00687895001680204,1.02840232609777,0.00707432819838954,0.000439936780735049,"Moderate increase (p<0.01)","Orthetrum albistylum"
"slope...15",1999,2024,0.0275450457253728,0.00940314221351931,1.02792791782306,0.00966575239653707,0.00733548752341906,"Moderate increase (p<0.05)","Orthetrum cancellatum"
"slope...16",1999,2024,0.0303191773047678,0.0104660927929664,1.03078348414828,0.0107882755945531,0.00791772993516779,"Moderate increase (p<0.05)","Orthetrum coerulescens"
"slope...17",1999,2024,0.0339430272723693,0.00904550163381158,1.03452566530015,0.00935780359569253,0.000982426723239109,"Moderate increase (p<0.01)","Platycnemis pennipes"
"slope...18",1999,2024,-0.00616284042465069,0.0109236514815601,0.993856110925032,0.0108565377785637,0.577870528709545,"Stable","Somatochlora metallica"
"slope...19",1999,2024,0.022672417549964,0.00729403005847721,1.02293139028466,0.00746129230849618,0.00479050645169917,"Moderate increase (p<0.05)","Sympetrum fonscolombii"
"slope...20",1999,2024,0.0284987966893146,0.00941590943777149,1.02890877273686,0.00968811182381887,0.00582427283357676,"Moderate increase (p<0.05)","Sympetrum pedemontanum"
"slope...21",1999,2024,0.00604117260994207,0.0134126985353157,1.00605945729496,0.0134939722093006,0.656459546694567,"Stable","Sympetrum sanguineum"
"slope...22",1999,2024,0.0309352802258011,0.0176096500537099,1.03141874853784,0.0181629232205868,0.0917183701783886,"Uncertain","Sympetrum striolatum"
"slope...23",2017,2024,0.136717996184244,0.0861921015548701,1.14650478420363,0.0988196567932235,0.163789049376848,"Uncertain","Trithemis annulata"
